"NUTS 3","Urban Code","City","City code","GDP","Employment","Population   (1-5)","Population            (XXL - S-M)","Sights & landmarks","Museums","Cinema seats","Concerts & shows","Theatres","Tourist overnight stays ","Museum visitors","Cinema attendance","Satisfaction with cultural facilities","Jobs in arts, culture & entertainment   ","Jobs in media & communication","Jobs in other creative sectors","ICT patent applications","Community design applications","Jobs in new arts, culture & entertainment enterprises","Jobs in new media & communication enterprises ","Jobs in new enterprises in other creative sectors","Graduates in arts and humanities","Graduates in ICT ","Average appearances in university rankings ","Foreign graduates","Foreign-born population","Tolerance of foreigners","Integration of foreigners","People trust","Passenger flights ","Potential road accessibility","Direct trains to other cities "," Quality of governance","Capital","Reason chosen","Cultural Vibrancy","Creative economy","Enabling environment","Overall","D1.1 Cultural Venues & Facilities","D1.2 Cultural Participation & Attractiveness","D2.1 Creative & Knowledge-based Jobs","D2.2 Intellectual Property & Innovation","D2.3 New Jobs in Creative Sectors","D3.1 Human Capital & Education","D3.2 Openness, Tolerance & Trust ","D3.3 Local & International Connections","D3.4 Quality of Governance"
"ES243","ES005C1","Zaragoza","54","3","4","2","XL","16.1","6.3","33.0","3.7","82.0","0.0","4.2","21.9","35.0","24.6","7.2","22.6","4.3","12.5","19.7","6.0","14.1","5.8","11.9","18.8","13.7","22.6","47.2","33.3","23.4","0.4","69.7","4.7","65.6","No","European Capital of Culture","24.95","14.24","23.1","20.3","32.46","17.45","18.13","8.38","13.28","12.13","28.06","24.94","65.61"
"ES300","ES001C1","Madrid","55","2","4","1","XXL","15.1","8.0","30.4","34.9","13.4","20.8","24.0","17.6","18.6","40.6","47.4","58.5","9.4","13.8","23.6","13.3","23.9","12.1","26.4","77.1","7.6","34.6","50.0","36.7","62.5","31.0","77.6","2.8","69.2","Yes","European Capital of Culture","21.35","29.95","39.75","28.47","22.55","20.16","48.80","11.60","20.27","38.53","38.28","37.13","69.22"
"ES412","ES515C1","Burgos","56","3","5","4","S-M","21.6","11.0","18.7","7.0","33.0","11.7","39.9","9.5","31.9","27.8","1.3","19.2","5.1","14.5","13.6","4.1","5.9","4.2","9.5","0.0","1.2","16.8","47.2","33.3","35.9","2.4","67.4","6.1","68.8","No","European Capital of Culture","21.82","11.55","19.82","17.31","18.74","24.90","16.11","9.81","7.86","4.57","26.89","25.32","68.79"
"ES415","ES516C1","Salamanca","57","5","5","4","S-M","40.1","20.3","31.3","20.7","34.1","25.0","32.4","15.3","27.1","27.2","0.9","16.7","2.4","6.0","14.7","4.3","9.1","43.4","55.7","14.6","3.7","13.4","47.2","33.3","25.0","0.3","63.9","3.2","68.8","No","European Capital of Culture","27.03","10.54","31.77","21.38","29.09","24.96","14.92","4.19","9.34","37.88","24.53","22.45","68.79"
"ES511","ES002C1","Barcelona","58","3","4","1","XXL","22.6","24.3","48.0","47.8","28.9","45.0","30.3","26.7","20.0","49.9","28.7","49.7","6.1","27.2","24.5","13.2","25.1","16.2","29.9","100.0","12.1","38.3","44.4","30.0","59.4","28.4","76.4","1.9","58.4","No","UNESCO Creative City","32.73","28.83","42.47","33.12","37.03","28.43","42.78","16.69","20.95","48.68","36.84","35.57","58.44"
"ES513","ES528C1","Lleida","59","3","5","4","S-M","21.1","15.0","42.3","21.8","33.0","5.0","14.7","2.4","36.6","24.8","5.0","21.3","4.8","13.2","17.8","3.9","12.1","6.1","37.3","0.0","6.8","37.1","47.2","33.3","32.8","3.7","69.5","17.6","58.4","No","At least two international cultural festivals","22.43","13.11","25.82","19.38","28.79","16.06","17.01","8.99","11.27","14.45","31.44","30.26","58.44"
"ES523","ES003C1","Valencia","60","4","5","2","XL","15.0","17.3","30.0","17.1","13.4","17.5","24.2","22.3","41.7","29.3","9.2","29.7","1.9","25.3","23.8","7.9","17.2","19.0","26.4","47.9","11.3","28.3","47.2","33.3","26.6","4.2","68.7","3.3","56.1","No","At least two international cultural festivals","23.45","18.33","30.79","22.87","19.19","27.71","22.73","13.58","16.32","31.10","29.33","25.41","56.15"
"ES613","ES020C1","Cordova","61","5","5","3","L","23.8","16.1","37.5","18.4","17.7","16.2","9.0","14.0","41.4","20.0","0.0","18.8","0.7","4.3","17.9","2.2","8.4","6.7","10.1","6.2","1.0","7.2","47.2","33.3","53.1","2.9","60.4","12.1","60.0","No","European Capital of Culture","22.05","9.48","21.19","16.85","23.41","20.70","12.92","2.49","9.53","7.67","28.38","25.11","60.02"
"ES614","ES501C1","Granada","62","5","5","4","S-M","57.2","35.5","38.8","74.3","34.1","52.9","52.4","13.8","27.1","34.4","7.9","24.1","2.1","6.4","16.2","3.3","10.2","38.2","36.8","25.0","2.6","16.6","47.2","33.3","25.0","3.3","60.0","2.2","60.0","No","UNESCO Creative City","41.31","13.67","29.58","27.91","48.39","34.22","22.13","4.29","9.89","33.32","24.95","21.82","60.02"
"ES618","ES004C1","Seville","63","5","5","2","XL","27.1","15.4","24.7","44.7","20.3","24.2","29.0","14.7","8.6","26.7","7.2","34.5","2.2","4.2","17.7","6.8","13.6","13.3","19.7","18.8","8.6","12.7","47.2","33.3","31.3","3.6","60.8","4.3","60.0","No","UNESCO Creative City","23.08","14.85","23.98","19.97","27.76","18.40","22.81","3.20","12.71","17.23","26.62","22.91","60.02"
"ES705","ES008C1","Las Palmas","64","5","5","3","L","7.1","5.0","39.2","17.7","17.7","12.1","6.6","22.8","41.4","25.2","1.7","23.3","0.7","3.0","26.2","3.9","17.3","3.8","6.6","0.0","6.0","20.8","47.2","33.3","53.1","8.1","0.0","0.0","54.8","No","European Capital of Culture","21.07","13.37","17.37","17.25","20.17","21.97","16.72","1.85","15.78","3.48","32.09","2.69","54.84"
"FI197","FI002C1","Tampere","65","3","2","4","S-M","7.9","34.2","17.4","13.0","88.5","15.8","20.0","21.8","31.4","26.6","9.8","26.2","100.0","36.2","6.2","3.2","4.3","19.3","0.0","16.7","2.4","11.3","59.3","6.7","60.3","6.6","48.0","10.0","95.6","No","At least two international cultural festivals","29.09","23.78","24.02","25.95","34.98","23.21","20.85","68.10","4.54","12.01","28.01","21.54","95.58"
"FI1B1","FI001C2","Helsinki","66","1","1","2","XL","17.7","28.4","17.2","19.9","14.6","20.0","18.1","22.0","64.3","58.2","60.8","63.0","80.4","65.6","6.1","7.1","7.9","25.9","16.7","33.3","10.3","21.6","59.3","6.7","96.9","31.0","82.7","26.4","95.9","Yes","European Capital of Culture","25.69","41.68","37.5","34.45","18.69","32.69","60.66","73.00","7.05","25.31","38.93","46.69","95.91"
"FI1C1","FI003C1","Turku","67","3","3","4","S-M","6.8","21.2","12.6","25.9","22.3","14.6","25.7","21.8","56.5","31.4","24.6","45.7","36.1","30.7","5.3","2.3","3.2","34.6","17.8","20.8","4.1","15.5","59.3","6.7","35.3","4.9","48.6","5.9","95.9","No","European Capital of Culture","25.25","21.69","27.21","24.22","18.71","31.79","33.91","33.40","3.63","24.40","24.20","19.82","95.91"
"FR101","FR001C1","Paris","68","1","2","1","XXL","26.8","27.4","35.5","90.2","49.7","71.7","99.7","35.1","48.6","100.0","70.1","60.0","45.1","100.0","46.8","100.0","100.0","55.0","36.8","100.0","29.8","44.2","40.7","6.7","18.8","52.4","94.5","9.2","72.3","Yes","European Capital of Culture","56.63","78.11","48.21","63.54","50.62","62.65","76.72","72.57","82.28","63.93","28.03","52.05","72.26"
"FR301","FR009C1","Lille","69","3","5","1","XXL","5.5","2.4","33.4","1.8","15.2","7.1","3.9","27.5","32.9","23.6","17.1","23.1","3.7","32.3","23.7","15.7","15.3","5.8","10.0","18.8","28.5","18.9","11.1","23.3","21.9","27.7","92.6","10.6","66.2","No","European Capital of Culture","16.48","19.41","22.76","18.91","13.61","19.35","21.27","18.02","18.25","11.52","20.75","43.62","66.15"
"FR511","FR008C1","Nantes","70","3","2","2","XL","5.7","4.6","51.1","5.8","17.5","12.1","4.0","37.6","72.9","38.0","33.5","30.1","7.3","11.2","22.9","15.8","18.7","26.8","33.5","10.4","91.2","14.0","23.6","20.0","100.0","5.6","76.6","6.6","76.6","No","At least two international cultural festivals","27.18","23.04","37.61","27.61","19.91","34.45","33.85","9.26","19.13","23.59","49.75","29.61","76.55"
"FR612","FR007C1","Bordeaux","71","3","3","2","XL","11.6","4.1","44.7","13.9","18.9","17.1","3.4","56.6","25.7","32.1","22.0","26.8","10.8","6.2","29.7","17.1","22.0","0.6","34.6","25.0","15.8","22.3","31.5","33.3","34.4","4.9","75.1","3.9","81.1","No","European Capital of Culture","24.13","21.65","27.25","23.76","21.34","26.92","26.93","8.52","22.94","20.06","27.44","27.95","81.14"
"FR623","FR004C2","Toulouse","72","2","2","2","XL","5.2","8.6","22.7","21.2","15.7","15.4","4.9","22.0","47.6","40.8","31.3","41.4","36.4","13.3","30.3","19.6","24.7","35.4","66.3","27.1","51.3","28.8","23.6","20.0","52.1","8.3","75.6","3.3","80.0","No","European Capital of Culture","20.06","30.06","39.6","27.97","16.63","23.49","37.84","24.83","24.89","42.94","35.15","29.07","80.03"
"FR715","FR011C1","Saint-Etienne","73","4","4","3","L","3.5","4.4","33.4","4.1","15.2","3.3","2.3","27.5","26.7","20.7","4.5","16.7","5.6","24.3","25.2","8.5","12.6","17.8","10.6","0.0","53.2","23.5","23.6","20.0","50.0","12.6","82.5","8.8","79.4","No","UNESCO Creative City","15.38","14.76","26.56","17.37","14.16","16.59","13.95","14.93","15.47","9.45","34.06","34.62","79.39"
"FR716","FR003C2","Lyon","74","1","3","1","XXL","5.9","3.5","47.1","15.0","22.8","10.8","3.7","33.8","100.0","32.8","25.0","31.5","13.3","28.1","26.0","32.6","29.1","25.6","7.1","37.5","31.8","30.6","23.6","20.0","43.8","24.2","85.7","8.4","77.7","No","European Capital of Culture","31.61","27.74","31.16","29.97","22.39","40.83","29.78","20.66","29.23","23.43","29.96","39.45","77.69"
"FR813","FR010C1","Montpellier","75","3","5","3","L","8.9","6.2","23.9","11.2","24.3","20.8","4.3","37.9","36.2","33.0","21.5","27.3","10.6","11.0","38.7","20.2","25.0","62.2","45.1","37.5","38.3","32.7","23.6","20.0","22.9","9.8","77.5","10.5","71.5","No","At least two international cultural festivals","21.05","24.26","38.78","25.88","16.76","25.35","27.28","10.78","27.98","48.28","27.51","32.59","71.46"
"FR824","FR203C1","Marseilles","76","2","5","1","XXL","7.7","5.8","34.4","11.3","14.8","10.0","7.8","33.1","17.1","26.7","8.3","18.7","30.3","10.4","34.8","21.6","28.6","20.6","25.2","29.2","12.2","35.7","11.1","16.7","12.5","10.4","78.9","8.3","63.9","No","European Capital of Culture","17.41","22.55","25.14","21.01","16.82","17.99","17.90","20.38","28.29","25.01","17.63","32.57","63.92"
"FR826","FR039C2","Avignon","77","3","5","4","S-M","16.6","20.1","43.0","51.4","36.8","37.5","2.0","35.2","47.6","31.9","7.6","20.2","3.0","13.8","49.1","14.3","23.5","21.0","30.8","0.0","39.0","30.4","23.6","20.0","52.1","10.7","78.6","30.9","63.9","No","European Capital of Culture","33.5","21.22","29.31","27.75","37.40","29.61","19.90","8.39","28.97","17.24","33.01","40.06","63.92"
"HR031","HR002C1","Rijeka","78","4","4","4","S-M","40.3","32.4","26.6","4.1","58.6","8.3","4.6","21.8","7.8","13.7","8.1","17.0","0.3","27.5","17.2","15.3","16.7","6.0","15.4","0.0","0.3","28.1","87.0","76.7","62.5","3.9","76.8","1.5","30.2","No","European Capital of Culture","21.2","14.51","28.86","20.06","31.41","10.99","12.93","13.88","16.42","7.17","50.93","27.39","30.24"
"HR035","HR005C1","Split","79","5","5","4","S-M","32.3","22.1","27.1","7.1","41.7","22.5","3.8","14.0","27.1","13.7","6.5","13.5","2.1","6.0","7.7","11.1","16.0","26.1","41.2","0.0","0.5","18.7","87.0","76.7","25.0","2.0","67.3","0.3","30.2","No","At least two international cultural festivals","20.91","9.94","30.59","18.46","25.78","16.03","11.22","4.08","11.59","22.43","41.58","23.17","30.24"
"HR041","HR001C1","Zagreb","80","3","4","2","XL","8.8","12.4","17.9","11.5","82.0","5.8","3.3","15.7","30.0","28.8","33.7","28.4","11.5","14.0","26.1","41.4","36.7","9.7","6.3","4.2","2.1","31.3","87.0","76.7","25.0","3.3","79.2","1.5","33.6","Yes","At least two international cultural festivals","22.67","28.57","26.34","25.76","30.50","14.84","30.30","12.77","34.75","6.72","44.42","28.02","33.60"
"HR04B","HR004C1","Osijek","81","5","5","4","S-M","4.5","8.7","40.5","24.0","30.6","0.8","0.0","14.9","27.1","10.2","3.6","10.3","2.1","6.0","6.7","7.0","12.3","26.1","41.2","0.0","0.4","26.0","87.0","76.7","25.0","0.0","72.0","0.9","33.6","No","European Capital of Culture","18.76","7.51","31.51","16.81","25.41","12.11","8.05","4.08","8.69","22.43","43.02","24.31","33.60"
"HU101","HU001C1","Budapest","82","2","3","1","XXL","13.1","14.1","35.1","16.3","47.3","100.0","14.0","25.6","32.9","31.1","32.4","26.7","8.6","8.7","27.1","41.1","62.3","12.7","18.2","18.8","21.7","12.9","48.1","63.3","12.5","7.0","79.2","4.9","42.1","Yes","UNESCO Creative City","31.53","31.15","25.95","30.26","28.07","34.99","30.07","8.67","43.48","16.54","31.71","30.35","42.07"
"HU221","HU007C1","Győr","83","4","3","4","S-M","3.7","14.0","45.4","18.2","12.6","8.3","2.1","33.3","43.3","20.3","8.1","15.4","2.1","10.9","16.9","7.0","18.9","1.0","4.9","0.0","23.7","6.0","48.1","63.3","12.5","29.8","79.5","17.2","51.0","No","At least two international cultural festivals","22.48","12.84","21.95","18.52","21.28","23.67","14.60","6.49","14.26","1.97","30.71","42.18","51.01"
"HU231","HU004C1","Pécs","84","5","5","4","S-M","11.1","5.3","25.7","24.0","33.0","3.8","12.3","13.9","27.1","25.0","11.1","15.6","2.1","6.0","14.5","8.9","12.9","16.0","11.9","0.0","9.8","8.1","48.1","63.3","25.0","0.0","73.4","4.5","51.0","No","European Capital of Culture","19.25","12.55","22.51","17.22","22.73","15.76","17.25","4.04","12.10","9.29","30.87","25.96","51.01"
"HU333","HU006C1","Szeged","85","5","4","4","S-M","12.5","6.5","33.5","2.5","15.1","4.6","1.9","24.1","34.8","26.4","14.1","16.4","2.3","5.5","16.6","8.2","13.3","28.4","47.0","8.3","11.4","12.9","48.1","63.3","35.4","0.9","72.8","4.1","46.3","No","At least two international cultural festivals","16.58","13.44","31.06","18.22","15.15","18.01","18.97","3.88","12.69","27.91","34.23","25.93","46.34"
"IE013","IE004C1","Galway","86","3","4","5","S-M","71.8","61.2","69.8","100.0","22.0","23.0","7.3","30.6","51.9","24.3","24.5","18.3","14.6","5.1","25.4","18.0","23.0","100.0","38.7","25.0","26.6","46.1","83.3","50.0","46.2","3.2","56.3","7.6","80.4","No","European Capital of Culture","46.74","19.77","49.38","36.48","64.56","28.91","22.37","9.85","22.14","54.56","50.44","22.39","80.40"
"IE021","IE001C1","Dublin","87","1","3","2","XL","45.5","51.5","42.9","100.0","26.8","11.3","35.4","48.0","45.7","33.6","46.3","32.8","21.7","19.7","33.7","44.9","30.3","36.6","7.3","66.7","35.4","38.9","83.3","50.0","62.5","70.1","95.8","23.5","77.0","Yes","European Capital of Culture","46.51","33.71","49.67","42.02","54.53","38.49","37.59","20.72","36.33","36.85","54.02","63.13","77.00"
"IE023","IE003C1","Limerick","88","3","5","5","S-M","84.1","91.5","33.9","58.4","28.5","48.9","12.3","38.2","25.9","27.4","13.1","20.6","10.9","2.6","25.1","11.9","14.0","100.0","38.8","4.2","24.2","28.1","83.3","50.0","28.1","3.6","56.9","6.6","77.0","No","European Capital of Culture","40.5","16.29","43.37","31.39","52.15","28.84","20.37","6.73","16.98","47.66","42.75","22.40","77.00"
"IE024","IE005C1","Waterford","89","4","5","5","S-M","36.0","30.8","41.8","34.6","52.4","8.6","3.8","91.8","32.1","20.9","25.4","16.6","2.9","9.2","21.5","24.9","34.1","17.9","21.9","0.0","46.0","30.7","83.3","50.0","33.4","0.1","58.0","8.1","77.0","No","European Capital of Culture","39.13","20.32","31.95","30.17","40.53","37.74","20.94","6.06","26.83","13.28","48.69","22.05","77.00"
"IE025","IE002C1","Cork","90","1","4","4","S-M","50.1","58.3","71.4","100.0","54.8","34.0","12.4","100.0","40.0","28.8","21.3","22.7","12.2","6.6","31.1","16.4","19.6","61.7","31.5","27.1","28.5","30.4","83.3","50.0","45.9","2.4","56.3","4.8","77.0","No","European Capital of Culture","59.24","20.55","42.1","40.34","70.09","48.39","24.27","9.41","22.39","40.08","47.61","21.17","77.00"
"ITC11","IT004C1","Turin","91","3","4","2","XL","15.4","20.3","25.4","15.5","82.0","10.0","3.8","22.4","40.0","55.0","20.4","25.5","11.7","19.6","11.5","7.8","21.4","13.3","4.1","45.8","16.4","27.0","0.0","6.7","21.9","26.2","86.4","4.7","44.6","No","UNESCO Creative City","27.77","22.01","22.28","24.37","35.20","20.33","33.65","15.60","13.57","21.07","14.38","39.13","44.64"
"ITC33","IT006C1","Genoa","92","3","4","2","XL","31.9","20.7","25.4","13.2","82.0","7.9","3.8","22.4","35.0","51.1","20.4","25.5","19.1","10.0","11.9","5.7","15.2","10.1","2.8","22.9","11.5","27.0","9.7","13.3","23.4","13.2","84.0","8.5","40.1","No","European Capital of Culture","27.67","20.22","18.87","22.93","36.74","18.60","32.37","14.55","10.92","11.96","16.98","35.23","40.14"
"ITC47","IT029C1","Brescia","93","3","4","4","S-M","30.6","21.3","22.4","6.2","49.3","7.5","5.9","18.9","34.5","55.2","19.3","40.3","3.8","29.6","12.2","4.1","11.8","2.1","0.9","8.3","22.4","24.3","9.7","13.3","22.4","32.9","85.9","11.2","47.2","No","At least two international cultural festivals","21.99","22.37","17.74","21.29","25.97","18.02","38.25","16.68","9.34","3.77","18.42","43.34","47.18"
"ITC4C","IT002C1","Milan","94","1","2","1","XXL","33.6","24.8","20.3","28.1","49.7","25.8","99.7","19.2","44.3","72.3","48.0","41.5","10.9","45.4","19.8","16.5","37.2","32.3","12.8","97.9","12.2","44.4","9.7","13.3","9.4","52.4","94.5","9.2","47.2","No","At least two international cultural festivals","41.08","37.02","36.35","38.51","31.84","50.31","53.94","28.15","24.53","47.67","17.79","52.05","47.18"
"ITF33","IT003C1","Naples","95","5","5","2","XL","25.0","14.7","24.7","21.8","29.5","7.1","29.0","18.5","8.6","36.4","7.2","34.5","1.3","7.1","11.6","5.3","13.1","21.6","6.3","29.2","6.4","10.8","31.5","23.3","31.2","4.9","60.8","5.1","8.2","No","At least two international cultural festivals","20.5","15.25","19.81","18.26","23.97","17.03","26.03","4.21","10.00","19.02","20.64","23.60","8.16"
"ITF45","IT037C1","Lecce","96","5","5","5","S-M","45.7","58.0","11.8","6.5","39.6","17.5","13.4","13.6","16.4","41.0","9.6","13.6","1.6","5.4","14.6","5.3","12.7","68.5","0.0","0.0","7.6","14.0","9.7","13.3","22.9","1.4","61.3","13.1","22.8","No","European Capital of Culture","21.17","13.61","19.48","17.81","27.44","14.90","21.39","3.51","10.89","22.85","13.52","25.27","22.80"
"ITF52","IT054C1","Matera","97","5","4","5","S-M","87.8","59.7","20.3","26.0","57.7","10.0","23.6","18.3","14.0","33.0","15.7","25.0","1.9","4.9","12.7","4.4","12.2","5.6","0.0","0.0","23.2","22.8","9.7","13.3","18.2","2.9","63.9","0.0","27.0","No","European Capital of Culture","30.91","14.4","12.42","20.61","44.42","17.40","24.56","3.40","9.74","1.88","17.44","22.25","26.96"
"ITG27","IT027C1","Cagliari","98","4","5","4","S-M","47.8","21.5","27.8","25.5","58.2","9.6","13.6","22.3","23.6","53.0","16.9","17.2","1.7","29.7","9.2","9.6","15.0","22.7","29.6","8.3","1.6","15.9","9.7","13.3","18.8","2.8","52.7","0.3","29.6","No","European Capital of Culture","27.44","19.27","17.1","22.1","36.53","18.35","29.05","15.71","11.28","20.23","11.85","18.61","29.61"
"ITH20","IT014C1","Trento","99","2","4","4","S-M","67.3","37.4","33.7","4.6","44.5","23.8","24.8","30.1","18.8","43.5","12.2","32.6","3.6","11.0","7.6","5.5","10.7","30.5","33.2","22.9","17.2","16.6","9.7","13.3","42.7","2.9","83.6","26.9","83.5","No","At least two international cultural festivals","29.12","16.41","29.37","24.09","33.79","24.45","29.43","7.27","7.96","28.89","19.91","37.80","83.52"
"ITH35","IT011C1","Venice","100","3","4","3","L","100.0","100.0","29.9","73.0","48.5","34.0","25.2","16.7","34.0","52.7","17.3","32.8","3.3","24.1","10.8","6.8","13.6","58.5","9.3","2.1","11.5","36.2","9.7","13.3","45.4","17.1","83.2","33.1","55.3","No","At least two international cultural festivals","44.71","20.61","28.04","31.74","62.85","26.57","34.26","13.71","10.41","23.29","23.22","44.47","55.35"
"ITH44","IT015C1","Trieste","101","2","4","4","S-M","65.7","74.3","33.7","14.2","35.9","12.5","24.8","30.1","28.3","42.9","12.2","32.6","8.1","18.8","16.8","4.7","11.7","16.9","1.2","18.8","24.1","16.6","9.7","13.3","19.3","11.2","79.6","11.3","68.2","No","At least two international cultural festivals","32.01","18.81","20.06","24.34","38.46","25.57","29.25","13.43","11.05","12.27","16.59","34.03","68.17"
"ITH52","IT503C1","Parma","102","2","2","4","S-M","37.7","22.1","24.7","11.1","48.3","10.0","50.9","45.3","35.2","58.1","6.4","28.8","8.7","36.5","9.5","7.0","15.9","19.3","2.2","16.7","11.9","14.1","9.7","13.3","42.2","20.0","83.5","21.3","68.2","No","UNESCO Creative City","33.74","21.27","22.04","26.41","28.50","38.98","31.10","22.58","10.78","12.74","18.23","41.59","68.17"
"ITH55","IT009C1","Bologna","103","1","1","3","L","38.6","40.6","29.8","22.1","24.6","19.2","18.8","34.2","34.3","64.0","52.5","59.2","12.9","55.4","13.3","8.3","17.3","56.9","14.6","31.2","13.8","44.3","3.7","10.0","31.2","18.1","82.7","29.3","54.6","No","European Capital of Culture","28.36","35.44","31.18","31.76","29.03","27.68","58.58","34.13","12.96","34.26","20.60","43.37","54.62"
"ITH57","IT506C1","Ravenna","104","3","5","4","S-M","26.7","22.7","43.0","8.1","33.0","67.5","14.7","35.2","22.4","46.2","6.6","21.3","5.2","17.6","14.2","2.8","10.5","10.4","25.9","0.0","13.7","27.8","9.7","13.3","18.2","6.6","79.1","9.2","54.6","No","European Capital of Culture","28.76","15.84","18.93","21.63","27.22","30.30","24.70","11.40","9.19","12.10","16.55","31.61","54.62"
"ITI14","IT007C1","Florence","105","2","2","3","L","56.6","91.9","25.1","57.3","63.9","87.5","35.9","31.0","77.1","63.5","15.4","0.0","6.3","29.9","12.9","8.3","17.1","25.5","4.0","31.2","12.5","37.5","9.7","13.3","81.3","11.3","80.3","26.1","47.4","No","European Capital of Culture","54.37","19.23","28.71","35.18","55.12","53.63","26.29","18.12","12.73","20.26","30.86","39.26","47.37"
"ITI21","IT016C1","Perugia","106","4","3","4","S-M","44.3","36.9","39.5","18.2","12.6","8.3","2.1","29.9","49.5","68.4","8.1","15.4","2.2","64.1","12.0","5.8","13.5","25.7","15.0","18.8","9.4","6.0","9.7","13.3","15.1","0.6","74.8","4.3","48.3","No","European Capital of Culture","26.09","23.06","18.61","23.38","27.71","24.47","30.63","33.16","10.45","19.83","10.71","26.57","48.25"
"ITI43","IT001C1","Rome","107","2","4","1","XXL","35.8","17.9","30.4","25.8","13.4","33.3","24.0","21.2","12.9","63.9","47.4","58.5","6.6","12.4","20.7","14.9","33.5","14.7","2.4","56.2","9.9","34.6","3.7","0.0","12.5","32.0","80.4","3.1","24.9","Yes","UNESCO Creative City","22.73","33.74","21.66","26.92","24.11","21.35","56.58","9.47","23.02","24.45","12.15","38.50","24.92"
"LT002","LT002C1","Kaunas","108","4","2","3","L","11.1","24.7","34.8","0.0","21.2","3.3","8.8","25.4","51.9","19.2","9.6","13.9","0.9","5.5","7.7","17.7","12.0","14.6","17.1","0.0","8.0","6.7","88.9","43.3","30.2","3.2","61.0","0.2","45.6","No","UNESCO Creative City","21.76","11.31","23.91","18.01","18.46","25.07","14.22","3.21","12.46","10.59","35.43","21.47","45.56"
"LT003","LT501C1","Klaipeda","109","4","1","4","S-M","21.8","10.8","78.9","8.2","20.5","7.1","5.8","32.4","62.4","18.6","3.1","13.3","0.9","3.8","8.8","6.4","15.7","10.6","12.0","0.0","14.1","22.8","88.9","43.3","40.6","0.2","57.0","0.9","45.6","No","At least two international cultural festivals","30.35","9.26","24.98","20.84","30.96","29.74","11.68","2.35","10.29","7.52","41.96","19.39","45.56"
"LT00A","LT001C1","Vilnius","110","2","1","2","XL","19.7","22.8","14.8","11.8","24.2","10.8","10.1","12.8","41.4","26.6","23.3","24.1","22.9","15.6","100.0","49.2","91.5","19.7","38.0","2.1","14.3","18.9","88.9","43.3","34.4","3.2","60.0","0.4","45.6","Yes","European Capital of Culture","18.96","45.82","29.43","31.8","18.02","19.91","24.70","19.23","80.24","19.94","39.96","21.23","45.56"
