"NUTS 3","Urban Code","City","City code","GDP","Employment","Population   (1-5)","Population            (XXL - S-M)","Sights & landmarks","Museums","Cinema seats","Concerts & shows","Theatres","Tourist overnight stays ","Museum visitors","Cinema attendance","Satisfaction with cultural facilities","Jobs in arts, culture & entertainment   ","Jobs in media & communication","Jobs in other creative sectors","ICT patent applications","Community design applications","Jobs in new arts, culture & entertainment enterprises","Jobs in new media & communication enterprises ","Jobs in new enterprises in other creative sectors","Graduates in arts and humanities","Graduates in ICT ","Average appearances in university rankings ","Foreign graduates","Foreign-born population","Tolerance of foreigners","Integration of foreigners","People trust","Passenger flights ","Potential road accessibility","Direct trains to other cities "," Quality of governance","Capital","Reason chosen","Cultural Vibrancy","Creative economy","Enabling environment","Overall","D1.1 Cultural Venues & Facilities","D1.2 Cultural Participation & Attractiveness","D2.1 Creative & Knowledge-based Jobs","D2.2 Intellectual Property & Innovation","D2.3 New Jobs in Creative Sectors","D3.1 Human Capital & Education","D3.2 Openness, Tolerance & Trust ","D3.3 Local & International Connections","D3.4 Quality of Governance"
"LU000","LU001C1","Luxembourg","111","1","2","5","S-M","51.8","53.3","34.7","36.0","46.6","27.0","35.1","44.0","45.7","73.2","42.8","38.2","8.3","100.0","35.2","68.6","67.8","7.3","0.0","0.0","78.2","45.3","72.2","43.3","56.2","7.9","92.8","42.5","89.9","Yes","European Capital of Culture","40.98","54.27","36.25","45.35","42.45","39.52","51.40","54.13","57.21","2.42","59.07","47.72","89.89"
"LV003","LV002C1","Liepāja","112","5","3","5","S-M","20.9","9.7","0.9","32.8","11.1","3.8","2.0","1.7","30.0","16.2","3.6","8.5","0.7","12.3","11.5","7.2","11.8","4.9","10.0","0.0","100.0","36.2","22.2","6.7","54.2","0.2","54.9","0.0","44.3","No","European Capital of Culture","12.58","9.12","24.51","13.58","15.01","10.14","9.41","6.47","10.17","4.98","43.87","18.38","44.27"
"LV006","LV001C1","Riga","113","3","1","2","XL","13.6","24.9","14.1","10.7","7.6","12.1","14.1","15.1","27.1","20.6","24.4","27.1","1.7","20.7","28.9","31.6","17.9","12.8","34.6","0.0","8.8","36.9","22.2","6.7","18.8","6.1","57.9","0.1","44.3","Yes","European Capital of Culture","15.37","22.31","19.19","18.91","12.90","17.84","24.04","11.24","26.12","15.77","18.67","21.35","44.27"
"MT001","MT001C1","Valletta","114","4","4","4","S-M","24.6","21.7","26.6","22.9","58.6","8.3","4.6","25.3","8.6","13.7","8.1","17.0","0.3","45.2","17.2","15.3","16.0","6.0","15.4","0.0","37.9","28.1","22.2","70.0","93.8","3.1","0.0","0.0","64.1","Yes","European Capital of Culture","22.5","16.19","26.38","20.75","32.82","12.18","12.93","22.75","16.17","7.17","50.39","1.02","64.08"
"NL113","NL007C1","Groningen","115","1","2","4","S-M","2.3","14.6","24.3","10.5","15.9","19.0","18.9","30.7","60.0","18.2","38.8","52.4","9.5","6.4","34.0","33.3","21.8","35.3","44.7","37.5","1.5","39.3","40.7","40.0","84.4","1.4","84.4","23.6","91.5","No","At least two international cultural festivals","24.41","28.06","42.19","29.43","14.78","34.03","36.47","7.91","29.72","39.18","41.18","36.49","91.49"
"NL121","NL015C1","Leeuwarden","116","3","5","5","S-M","13.2","26.5","43.9","24.7","14.2","48.9","14.7","38.2","37.6","20.0","20.1","40.6","5.1","6.7","30.1","20.3","17.1","0.0","51.2","0.0","28.3","22.1","34.0","22.2","37.2","40.7","83.8","33.9","92.4","No","European Capital of Culture","29.28","20.94","30.87","26.26","25.69","32.88","26.91","5.87","22.50","17.06","28.77","52.79","92.37"
"NL310","NL004C1","Utrecht","117","1","1","3","L","11.4","14.5","29.8","18.8","24.6","3.3","18.8","34.2","42.9","49.4","54.6","58.1","10.2","30.0","40.9","35.1","35.1","42.9","88.3","35.4","16.3","44.3","34.0","22.2","33.4","65.0","93.4","85.3","92.3","No","At least two international cultural festivals","24.71","40.47","51.02","36.28","21.54","27.87","54.04","20.12","37.07","55.53","30.03","81.21","92.31"
"NL326","NL002C1","Amsterdam","118","1","1","2","XL","26.7","50.4","23.0","85.5","38.7","56.2","38.4","31.1","65.7","36.2","41.6","61.4","16.3","48.5","65.7","55.4","49.2","20.8","37.4","70.8","3.8","48.0","38.9","16.7","31.2","31.0","82.7","26.4","87.0","Yes","European Capital of Culture","46.56","47.73","39.65","45.65","46.43","46.68","46.38","32.40","56.75","43.02","27.72","46.69","87.04"
"NL332","NL001C1","The Hague","119","2","2","2","XL","10.4","16.2","40.7","28.2","15.7","8.3","4.9","33.5","43.3","41.8","21.7","43.5","14.6","32.9","35.5","25.4","38.0","6.0","28.1","0.0","5.3","28.8","34.0","22.2","41.6","56.8","91.8","45.2","91.0","No","At least two international cultural festivals","24.5","32.2","29.35","28.55","24.47","24.53","35.66","23.77","32.95","11.38","26.38","64.62","90.98"
"NL337","NL507C1","Leiden","120","2","1","4","S-M","22.7","23.5","0.0","33.9","10.7","30.8","100.0","27.4","62.4","20.9","11.2","35.4","17.1","14.8","30.9","20.8","22.6","59.1","35.5","35.4","1.5","49.6","34.0","22.2","35.7","46.8","90.7","100.0","91.0","No","At least two international cultural festivals","37.77","22.12","45.2","33","16.91","58.62","22.50","15.99","24.80","43.32","28.60","79.19","90.98"
"NL339","NL003C1","Rotterdam","121","1","2","2","XL","13.4","11.2","27.0","14.1","15.4","5.8","16.1","31.0","52.9","29.9","15.0","45.9","6.7","39.7","36.7","22.1","31.6","7.7","20.9","27.1","1.5","54.2","22.2","10.0","25.0","65.2","93.0","22.8","91.0","No","European Capital of Culture","23.29","28.81","30.05","26.85","17.20","29.37","30.28","23.18","30.15","18.56","22.58","60.33","90.98"
"NL413","NL503C1","'s-Hertogenbosch","122","1","1","4","S-M","18.8","12.3","100.0","9.4","88.3","25.8","39.5","89.8","48.1","26.3","35.2","60.3","11.3","43.5","30.1","22.7","24.9","17.4","29.5","0.0","40.7","42.7","34.0","22.2","36.8","87.8","94.3","91.3","88.0","No","At least two international cultural festivals","53.84","32.08","38.44","42.06","53.30","54.38","40.62","27.36","25.90","15.62","35.29","91.14","88.01"
"NL414","NL005C1","Eindhoven","123","1","1","4","S-M","6.2","9.8","100.0","17.1","88.3","25.8","39.5","89.8","46.7","19.9","40.0","74.8","100.0","100.0","34.7","22.9","28.1","15.4","69.9","20.8","3.5","42.7","34.0","22.2","36.8","89.3","95.6","53.2","88.0","No","European Capital of Culture","53.66","49.37","41.6","49.53","53.36","53.97","44.87","100.00","28.56","35.38","27.85","79.37","88.01"
"NL423","NL505C1","Maastricht","124","3","4","4","S-M","27.4","28.0","20.8","33.0","49.9","26.2","36.9","30.0","58.4","11.7","19.3","40.3","10.1","12.3","29.1","17.5","17.8","27.1","3.5","16.7","2.4","39.8","34.0","22.2","46.1","57.9","95.3","47.9","89.4","No","European Capital of Culture","36.2","20.31","32.4","29.08","32.86","39.55","23.74","11.17","21.45","15.76","28.90","67.06","89.45"
"NO012","NO001C1","Oslo","125","1","1","2","XL","25.3","49.2","23.0","34.9","38.7","22.1","38.4","31.1","61.4","58.2","60.8","63.0","19.6","7.2","26.7","49.3","25.0","26.3","5.6","33.3","5.0","43.6","50.0","6.7","100.0","25.9","59.5","0.0","90.4","Yes","At least two international cultural festivals","37.01","40.41","33.92","37.75","33.45","40.57","60.66","13.40","33.65","21.77","41.06","28.46","90.39"
"NO043","NO004C1","Stavanger","126","1","1","4","S-M","16.8","38.5","100.0","17.4","88.3","22.9","39.5","89.8","61.0","61.6","56.4","72.6","15.0","3.2","26.3","19.2","22.6","15.2","6.5","0.0","25.4","31.8","50.0","6.7","60.3","5.4","52.7","0.0","87.4","No","European Capital of Culture","57.99","36.3","24.11","42.54","58.34","57.64","63.50","9.07","22.72","7.24","34.85","19.38","87.35"
"NO051","NO002C1","Bergen","127","1","1","3","L","12.8","34.7","29.8","19.9","24.6","20.8","18.8","34.2","42.9","49.2","52.5","59.2","6.3","32.2","27.8","47.8","50.0","27.2","5.2","27.1","4.2","23.0","50.0","6.7","33.4","8.2","50.6","0.0","73.3","No","European Capital of Culture","27.44","42.06","23.92","32.58","24.52","30.37","53.66","19.23","41.88","19.85","23.45","19.58","73.31"
"PL114","PL002C1","Łódź","128","4","3","2","XL","2.2","3.4","12.3","0.8","12.6","1.7","3.0","13.1","54.3","1.5","9.2","14.4","2.4","21.2","20.6","18.6","11.1","25.8","35.0","0.0","2.9","0.0","37.7","16.7","18.8","0.3","77.6","2.2","46.7","No","At least two international cultural festivals","13.74","12.41","20.55","14.57","7.12","20.36","8.37","11.81","16.75","20.29","15.23","26.71","46.68"
"PL127","PL001C1","Warsaw","129","1","1","1","XXL","8.5","7.8","27.5","6.8","15.1","7.9","17.0","29.5","28.6","9.6","37.3","29.0","4.8","51.3","31.2","98.2","55.6","21.9","11.4","18.8","6.9","0.2","29.6","13.3","9.4","12.8","78.2","3.0","45.5","Yes","European Capital of Culture","18.48","40.39","18.68","27.28","14.37","22.58","25.28","28.07","61.67","17.37","11.89","31.34","45.53"
"PL213","PL003C1","Kraków","130","4","3","2","XL","15.4","23.1","31.0","25.9","12.9","17.9","45.6","25.1","54.3","4.8","17.9","18.8","4.5","28.1","28.6","65.6","34.5","40.1","36.7","12.5","2.2","0.2","40.7","23.3","18.8","5.6","79.7","2.6","52.0","No","European Capital of Culture","30.25","25.95","25.72","27.62","22.24","38.27","13.84","16.32","42.88","29.78","17.03","29.30","52.03"
"PL22A","PL010C1","Katowice","131","4","5","3","L","3.5","5.1","46.0","2.9","13.4","3.3","1.5","33.2","15.7","10.7","26.9","29.9","0.8","13.5","22.3","34.1","27.1","59.5","37.5","0.0","2.3","0.0","37.7","16.7","9.4","29.2","82.3","10.0","43.0","No","European Capital of Culture","15.74","21.55","26.44","20.2","16.62","14.85","22.50","7.14","27.81","32.31","13.22","40.50","43.03"
"PL314","PL009C1","Lublin","132","5","4","3","L","4.9","1.4","8.4","4.8","11.8","0.8","5.5","11.5","35.7","0.1","8.0","8.8","0.1","11.1","20.5","20.3","19.5","41.1","29.1","0.0","2.5","0.0","37.7","16.7","63.6","0.0","69.7","4.0","49.1","No","European Capital of Culture","11.12","11.4","25.14","14.04","7.04","15.20","5.61","5.61","20.08","23.41","24.10","24.54","49.09"
"PL415","PL005C1","Poznań ","133","3","2","2","XL","13.2","10.6","51.1","8.3","13.3","5.0","3.0","34.7","72.9","3.2","19.8","21.4","2.7","49.8","35.3","71.5","52.9","44.0","38.5","0.0","2.3","0.0","37.7","16.7","100.0","1.4","78.8","10.5","49.6","No","At least two international cultural festivals","26.74","32.45","30.55","29.79","21.16","32.31","14.80","26.26","53.21","27.49","31.35","30.24","49.59"
"PL514","PL004C1","Wrocław","134","4","2","2","XL","9.7","7.3","30.2","9.6","11.6","6.2","13.7","25.7","50.0","2.4","18.4","19.0","4.4","45.4","28.1","65.7","43.5","27.9","50.5","4.2","3.1","0.2","37.7","16.7","68.8","2.0","82.3","5.1","42.9","No","European Capital of Culture","20.7","28.58","27.74","25.26","14.97","26.43","13.27","24.91","45.73","27.52","25.29","29.80","42.90"
"PL613","PL013C1","Toruń ","135","5","3","4","S-M","15.6","20.2","32.2","14.3","16.0","4.6","9.2","20.2","44.3","0.9","0.5","10.0","1.6","36.9","26.0","22.9","21.5","40.9","0.0","0.0","1.2","0.0","37.7","16.7","58.3","0.4","72.7","14.8","58.6","No","At least two international cultural festivals","20.91","14.75","21.88","18.64","20.10","21.72","3.79","19.26","23.46","13.62","22.78","29.30","58.64"
"PL634","PL006C1","Gdańsk","136","4","3","3","L","17.7","12.6","21.1","8.5","10.6","10.4","6.3","24.4","35.7","0.4","13.0","11.4","2.4","17.4","21.2","15.7","14.2","26.3","43.1","0.0","3.2","0.0","42.6","13.3","21.9","3.0","69.6","18.5","58.6","No","European Capital of Culture","17.14","12.1","23.22","16.34","13.81","20.46","8.28","9.88","17.03","23.14","16.20","30.36","58.64"
"PT113","PT505C1","Guimarães","137","5","4","4","S-M","28.1","15.1","24.2","14.0","10.5","2.9","21.2","6.4","36.6","23.2","16.4","24.6","3.3","5.5","22.5","5.1","36.0","28.4","47.0","0.0","10.0","6.5","48.1","6.7","33.3","6.2","0.0","3.9","56.8","No","European Capital of Culture","18.15","17.89","21.78","18.77","17.55","18.76","21.35","4.40","21.18","25.13","20.93","3.39","56.82"
"PT114","PT002C1","Porto","138","5","5","4","S-M","55.7","40.4","7.7","21.1","55.9","30.0","61.5","4.4","27.1","19.3","6.0","15.4","1.4","6.0","36.4","15.0","74.3","39.8","41.2","27.1","36.3","11.1","48.1","6.7","25.0","0.8","66.1","2.4","56.8","No","European Capital of Culture","32.02","22.92","30.9","28.16","33.19","30.86","13.57","3.70","41.87","36.03","25.45","23.08","56.82"
"PT162","PT005C1","Coimbra","139","5","2","4","S-M","30.4","17.8","43.2","22.9","36.0","8.8","6.7","23.7","30.5","24.7","9.9","24.8","1.3","5.7","31.1","8.1","64.2","25.7","10.5","22.9","8.0","12.5","48.1","6.7","39.3","5.4","0.0","16.0","60.7","No","At least two international cultural festivals","25.09","22.41","21.15","23.23","31.54","18.63","19.78","3.53","34.47","19.70","22.92","7.11","60.73"
"PT171","PT001C1","Lisbon","140","3","3","2","XL","41.3","51.6","44.7","89.6","71.8","50.0","70.6","54.6","7.1","32.0","22.0","26.8","1.6","6.2","54.3","32.1","100.0","33.0","34.6","41.7","37.9","21.4","48.1","6.7","12.5","4.9","75.1","3.9","58.2","Yes","European Capital of Culture","54.04","36.42","31.8","42.54","63.15","44.94","26.93","3.89","62.16","36.43","25.32","27.97","58.15"
"RO113","RO002C1","Cluj-Napoca","141","5","5","3","L","13.8","6.6","38.4","8.0","17.7","3.8","7.2","22.0","41.4","25.7","6.3","22.9","0.7","1.8","41.9","79.2","37.5","17.3","24.3","0.0","5.3","17.8","100.0","100.0","53.1","1.1","66.9","2.8","22.2","No","European Capital of Culture","19.63","28.71","32.29","25.79","18.55","20.71","18.29","1.23","52.88","13.87","55.25","23.57","22.21"
"RO114","RO507C1","Baia Mare","142","5","5","4","S-M","26.1","7.4","25.7","24.0","16.4","0.4","6.5","13.9","27.1","19.3","6.0","15.4","2.1","6.0","30.8","23.4","16.6","26.1","41.2","0.0","6.7","15.4","80.6","75.0","25.0","0.0","65.2","2.2","22.2","No","European Capital of Culture","17.18","15.68","29.68","19.08","20.73","13.62","13.57","4.08","23.60","22.43","40.55","22.48","22.21"
"RO126","RO009C1","Sibiu","143","5","3","4","S-M","23.4","21.1","32.2","7.4","28.7","7.9","45.1","23.7","40.9","0.9","0.5","10.0","4.7","36.9","34.0","31.2","31.2","40.9","0.0","0.0","1.0","0.0","80.6","75.0","25.0","0.4","64.8","4.4","35.2","No","European Capital of Culture","27.56","18.54","25.23","23.49","22.65","32.47","3.80","20.82","32.13","13.63","36.32","23.23","35.20"
"RO213","RO502C1","Iași","144","5","4","3","L","6.6","2.1","10.2","2.0","9.1","1.7","4.6","11.2","35.7","14.0","5.9","13.1","0.1","1.6","22.2","60.2","24.4","17.9","29.1","0.0","3.7","2.5","80.6","75.0","34.4","0.5","57.3","2.5","21.2","No","At least two international cultural festivals","10.69","18.8","26.05","17.01","6.42","14.97","10.99","0.83","35.59","15.68","39.25","20.10","21.25"
"RO321","RO001C1","Bucharest","145","1","4","1","XXL","6.1","3.8","17.9","7.1","14.3","2.5","4.1","24.6","12.9","44.7","30.1","36.8","2.7","9.8","49.9","95.7","87.0","0.0","1.1","4.2","4.6","78.4","61.1","50.0","18.8","8.2","68.5","1.7","8.5","Yes","European Capital of Culture","11.65","47.15","22.08","27.94","11.07","12.23","37.20","6.29","77.54","1.76","42.57","26.12","8.51"
"RO424","RO003C1","Timișoara","146","4","5","3","L","5.1","2.4","39.3","5.0","17.1","3.3","2.4","38.5","15.7","15.8","17.0","25.1","4.5","16.1","37.1","41.9","38.6","59.5","41.2","0.0","2.0","22.1","80.6","75.0","9.4","0.9","69.6","2.3","23.1","No","European Capital of Culture","16.45","25.46","33.35","23.43","16.28","16.63","19.33","10.25","39.19","33.57","37.82","24.25","23.10"
"SE110","SE001C1","Stockholm","147","1","1","2","XL","13.9","22.1","22.0","16.3","46.1","30.8","71.5","30.9","64.3","56.9","81.3","55.5","98.0","48.2","11.1","12.5","11.1","6.2","0.0","79.2","4.6","39.9","92.6","6.7","96.9","31.0","82.7","26.4","94.8","Yes","European Capital of Culture","38.82","45.08","42.38","42.04","25.60","52.04","64.56","73.08","11.59","28.45","48.14","46.69","94.84"
"SE224","SE003C1","Malmö","148","3","1","3","L","9.1","8.3","12.1","28.8","32.2","15.0","9.2","12.5","51.4","28.5","34.2","32.1","100.0","47.2","19.6","22.1","20.1","2.4","20.7","0.0","10.9","53.9","53.7","3.3","71.9","26.7","67.5","32.5","94.2","No","At least two international cultural festivals","21.75","35.6","29.62","28.86","20.45","23.04","31.59","73.59","20.60","7.68","38.75","42.23","94.23"
"SE224","SE504C1","Lund","149","3","1","4","S-M","14.2","20.4","21.2","18.5","32.9","36.6","44.1","27.1","61.4","41.3","56.5","42.3","100.0","47.2","19.6","22.1","20.1","32.2","14.4","37.5","4.2","39.2","73.1","5.0","94.0","26.7","66.5","100.0","94.2","No","European Capital of Culture","32.8","41.63","42.81","38.33","22.47","43.12","46.68","73.59","20.60","28.02","43.09","64.39","94.23"
"SE232","SE002C1","Gothenburg","150","2","1","2","XL","6.6","7.7","12.1","8.9","18.4","20.8","17.9","29.6","41.4","31.2","33.7","36.9","27.0","45.0","15.3","17.2","15.6","7.3","27.1","47.9","4.0","40.3","73.1","5.0","34.4","7.0","64.4","6.2","94.2","No","At least two international cultural festivals","20","27.17","32.12","25.29","11.63","28.36","33.92","35.98","16.02","27.46","31.37","25.85","94.23"
"SE331","SE005C1","Umeå","151","3","2","4","S-M","6.3","10.4","17.2","4.6","62.8","11.7","14.1","16.4","31.9","24.0","9.8","26.2","10.9","20.6","100.0","100.0","100.0","8.2","19.9","25.0","5.6","17.3","73.1","5.0","38.5","1.6","48.5","0.4","91.3","No","European Capital of Culture","21.38","51.16","25.32","34.08","23.26","19.50","20.01","15.78","100.00","17.67","27.91","16.81","91.26"
"SI012","SI002C1","Maribor","152","5","4","4","S-M","14.8","13.8","42.7","5.0","43.7","7.5","11.7","34.7","54.8","19.9","18.6","32.7","4.4","5.5","23.5","17.4","19.1","28.4","47.0","0.0","10.0","25.1","55.6","70.0","57.3","6.7","0.0","4.6","59.1","No","European Capital of Culture","28.2","18.48","31.02","24.88","26.42","29.98","23.72","4.93","20.01","25.13","43.60","3.78","59.14"
"SI021","SI001C1","Ljubljana","153","3","3","3","L","24.2","29.6","16.5","31.3","72.4","10.4","33.9","24.4","50.0","37.1","50.5","40.7","6.2","31.7","29.2","34.4","30.9","4.0","7.6","8.3","31.8","33.6","55.6","70.0","68.8","6.7","0.0","2.7","59.1","No","UNESCO Creative City","34.62","33.5","26.85","32.62","36.78","32.45","42.73","18.95","31.53","6.63","51.93","3.13","59.14"
"SK010","SK001C1","Bratislava","154","1","1","3","L","38.1","24.0","31.1","1.3","50.4","14.6","8.8","18.5","14.3","25.4","52.5","59.2","3.5","15.4","29.3","100.0","100.0","21.3","57.9","0.0","10.1","44.3","24.1","10.0","9.4","23.4","81.4","9.6","44.8","Yes","At least two international cultural festivals","21.22","50.73","26.36","34.05","28.46","13.98","45.69","9.45","76.42","26.41","19.56","38.18","44.78"
"SK023","SK004C1","Nitra","155","5","5","5","S-M","29.5","8.9","9.9","8.3","41.5","5.8","4.7","18.5","31.9","13.9","12.8","17.8","0.8","2.5","8.9","17.5","23.1","100.0","65.8","0.0","1.3","14.0","23.1","20.0","44.8","23.2","79.1","0.0","49.6","No","European Capital of Culture","18.15","12.86","37.96","20","19.72","16.57","14.82","1.66","16.50","55.28","20.63","34.10","49.65"
"SK041","SK005C1","Prešov","156","5","5","5","S-M","3.9","0.2","22.9","14.2","44.7","2.5","3.1","6.4","19.5","14.5","8.6","12.7","0.0","6.0","8.7","17.6","13.3","31.7","0.0","0.0","6.6","14.0","23.1","20.0","59.4","0.5","72.8","5.7","43.4","No","European Capital of Culture","14.8","10.66","20.2","14.22","20.97","8.63","11.95","3.00","13.21","10.58","24.62","26.34","43.37"
"SK042","SK002C1","Košice","157","5","5","4","S-M","6.2","3.4","9.0","8.1","27.2","2.1","3.6","1.3","27.1","10.0","6.0","15.4","2.1","5.6","12.1","13.3","18.8","5.9","67.8","0.0","2.0","15.4","22.2","30.0","25.0","0.5","72.3","5.9","43.4","No","European Capital of Culture","10.84","10.86","23.51","13.38","12.24","9.44","10.48","3.86","14.73","24.57","18.94","26.24","43.37"
"UKD","UK008C1","Manchester","158","4","2","2","XL","12.2","13.9","30.2","39.3","18.9","50.8","18.0","29.0","50.0","24.8","23.6","50.4","4.4","11.5","28.1","65.7","41.4","43.7","50.5","37.5","37.2","44.7","50.0","60.0","68.8","2.0","82.3","5.1","79.2","No","At least two international cultural festivals","30.17","32.8","46.85","34.56","25.36","34.98","32.97","7.91","45.07","43.91","52.14","29.80","79.17"
"UKD72","UK006C1","Liverpool","159","4","3","3","L","17.0","11.5","21.1","43.4","10.6","10.4","6.3","27.7","35.7","26.1","12.1","27.0","2.4","18.2","21.2","15.7","13.5","28.8","43.1","33.3","53.4","17.5","54.9","64.4","21.9","3.0","69.6","18.5","79.2","No","European Capital of Culture","21.87","17.48","39.52","23.64","22.33","21.40","21.74","10.32","16.80","35.10","42.41","30.37","79.17"
"UKE21","UK533C1","York","160","3","2","4","S-M","52.7","46.7","17.3","27.2","16.0","100.0","17.1","22.7","37.0","29.1","9.8","26.2","10.2","28.9","53.1","51.6","52.0","70.7","39.7","31.2","36.1","16.3","54.9","64.4","27.4","22.1","76.2","56.5","81.1","No","UNESCO Creative City","31.88","33.49","46.59","35.47","27.55","36.21","21.71","19.52","52.25","47.19","39.82","51.58","81.07"
"UKE41","UK005C1","Bradford","161","5","2","2","XL","4.1","4.0","26.0","7.1","19.7","5.6","3.9","22.6","37.6","11.7","10.6","18.3","18.2","20.8","21.4","22.9","21.1","1.3","13.3","2.1","61.7","30.4","54.9","64.4","29.2","27.7","78.1","24.4","81.1","No","UNESCO Creative City","16.66","18.02","32.04","20.28","14.19","19.12","13.52","19.49","21.78","5.57","48.12","43.37","81.07"
"UKF14","UK029C1","Nottingham","162","2","1","3","L","13.8","14.0","19.0","30.6","15.6","20.8","15.6","38.2","51.9","27.9","25.2","65.8","14.2","24.3","4.3","4.7","2.6","71.8","58.4","39.6","33.4","34.5","54.9","64.4","26.0","19.7","81.8","28.1","75.4","No","UNESCO Creative City","26.49","21.24","49.94","29.08","19.80","33.18","39.64","19.21","3.87","56.59","42.63","43.22","75.41"
"UKG31","UK002C1","Birmingham","163","4","3","1","XXL","12.7","5.1","17.2","21.0","5.9","18.1","3.8","24.4","48.1","17.5","8.4","28.9","4.2","12.4","22.9","19.1","20.5","19.1","18.6","39.6","35.6","39.2","54.9","64.4","34.4","34.9","80.2","14.6","74.6","No","At least two international cultural festivals","18.83","17.31","38.8","22.22","13.27","24.40","18.28","8.34","20.82","25.75","45.70","43.23","74.63"
"UKH15","UK566C1","Norwich","164","4","1","4","S-M","38.7","61.8","78.9","73.7","29.7","52.5","10.1","18.7","53.3","50.7","19.3","45.2","5.8","3.8","8.8","6.4","14.9","65.2","26.9","27.1","46.5","22.8","54.9","64.4","27.4","13.5","76.7","30.3","80.4","No","UNESCO Creative City","44.55","20.34","43.22","34.6","58.15","30.94","38.41","4.80","10.03","39.74","43.20","40.16","80.40"
"UKI","UK001K2","London","165","1","1","1","XXL","9.8","8.4","16.6","31.4","11.9","22.9","18.1","21.7","48.6","34.6","41.3","49.0","47.1","32.3","28.5","43.3","29.5","15.1","15.1","100.0","18.6","64.8","57.4","60.0","46.9","100.0","91.8","12.6","82.6","Yes","At least two international cultural festivals","22.89","38.12","51.53","34.71","17.25","28.52","41.64","39.73","33.78","43.39","49.55","68.14","82.61"
"UKM21","UK550C1","Dundee","166","4","5","4","S-M","7.5","26.7","18.9","20.7","34.7","9.6","12.0","22.2","43.8","24.9","16.9","17.2","12.5","7.4","9.2","9.6","14.3","28.4","75.8","18.8","35.6","15.9","54.9","64.4","51.8","24.3","62.9","23.8","73.7","No","UNESCO Creative City","23.27","14.25","43.43","23.69","22.87","23.66","19.63","9.93","11.03","40.97","44.51","37.01","73.71"
"UKM25","UK007C1","Edinburgh","167","1","1","3","L","43.7","55.1","29.8","47.0","24.6","16.8","18.8","34.2","42.9","38.9","25.6","39.7","13.3","14.4","27.8","47.8","50.0","39.2","59.8","50.0","60.5","28.1","54.9","64.4","33.4","17.6","65.9","24.7","73.7","No","UNESCO Creative City","33.75","33.41","48.26","36.52","37.70","29.80","34.73","13.84","41.88","49.64","48.26","36.08","73.71"
"UKM34","UK004C1","Glasgow","168","3","2","2","XL","20.7","23.3","51.1","40.9","15.4","8.6","3.5","37.6","72.9","36.1","21.4","52.6","25.8","6.1","29.1","43.6","34.1","22.0","43.4","54.2","26.8","21.7","57.4","73.3","100.0","17.6","66.5","30.5","73.7","No","European Capital of Culture","33.07","32.12","47.7","35.62","32.35","33.78","36.70","15.95","35.62","39.85","55.85","38.18","73.71"
